IngressBytes,InRxmitBytes,InCongestionBytes,Connections
446520,0,0,2
145341,0,0,1
365,0,0,1
23,0,0,0
62,0,0,0
86,0,0,0
37887,0,0,1
220930,0,0,1
76785,0,0,1
947,0,0,2
464,0,0,1
431607,0,0,1
163852,0,0,1
1567,0,0,0
0,0,0,0
0,0,0,0
62,0,0,0
86,0,0,1
23,0,0,0
99,0,0,0
37,0,0,0
210,0,0,0
122204,0,0,1
45169,0,0,0
210,0,0,0
70407,0,0,3
289691,0,0,3
700526,0,0,2
896835,0,0,2
1030148,0,0,2
1010533,0,0,1
963419,0,0,1
1096268,0,0,1
1114618,0,0,2
1260909,0,220476,3
856360,0,479314,3
185309,0,147120,2
1134,0,0,2
495,0,0,1
46,0,0,0
210,0,0,0
140,0,0,1
23,0,0,0
0,0,0,0
0,0,0,0
40900,0,0,1
398340,0,0,2
141987,0,0,1
92,0,0,0
3549,0,0,1
284946,0,0,2
117371,0,0,1
4861,0,0,1
92,0,0,0
148,0,0,0
54,0,0,0
313,0,0,0
115,0,0,0
0,0,0,0
62,0,0,0
23,0,0,0
3190,0,0,0
51405,0,0,1
59294,0,0,1
62158,0,0,1
23800,0,0,1
43077,0,0,1
62095,0,0,1
18501,0,0,1
46487,0,0,3
379420,0,0,7
516293,0,0,3
92914,0,0,0
23,0,0,0
48493,0,0,1
18408,0,0,2
61364,0,0,3
633135,0,0,2
991607,0,0,2
1221259,0,0,2
1304465,0,531669,2
1587823,0,1221323,2
1467774,0,1244158,3
1331198,0,319993,3
779593,0,0,4
163134,0,0,1
2178,0,0,1
23,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
47474,0,0,0
17770,0,0,1
511581,0,0,2
491334,0,0,1
111753,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2358,0,0,1
45094,0,0,1
16356,0,0,0
0,0,0,0
774,0,0,1
663,0,0,2
139,0,0,0
0,0,0,0
164,0,0,0
59,0,0,0
43179,0,0,0
17264,0,0,1
478,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25417,0,0,1
474927,0,0,2
172181,0,0,0
143340,0,0,0
97016,0,0,1
16272,0,0,0
296,0,0,0
109,0,0,0
0,0,0,0
0,0,0,0
2336,0,0,2
49192,0,0,1
196021,0,0,3
400888,0,0,5
548131,0,0,6
312168,0,0,4
248165,0,0,2
312214,0,0,3
547181,0,0,4
806766,0,0,5
1102216,0,49245,4
900640,0,261778,4
569353,0,90085,1
555224,0,0,1
616402,0,0,1
654451,0,0,1
613369,0,0,1
657878,0,0,1
617154,0,0,2
660943,0,0,2
626041,0,0,2
585606,0,0,1
156286,0,0,0
62,0,0,0
23,0,0,0
0,0,0,0
148,0,0,0
301067,0,0,1
439949,0,0,1
121542,0,0,0
210,0,0,0
177764,0,0,1
65719,0,0,0
140,0,0,0
51,0,0,0
0,0,0,0
0,0,0,0
46329,0,0,2
17135,0,0,0
210,0,0,0
221564,0,0,1
340114,0,0,1
193298,0,0,1
36173,0,0,0
462,0,0,0
187294,0,0,1
325219,0,0,1
142037,0,0,1
50716,0,0,1
12280,0,0,0
0,0,0,0
0,0,0,0
188,0,0,0
760,0,0,1
1511,0,0,1
612,0,0,1
54,0,0,0
47309,0,0,1
393564,0,0,2
245515,0,0,2
147089,0,0,2
570459,0,0,2
370870,0,0,2
64880,0,0,2
172,0,0,0
23,0,0,0
48580,0,0,1
73300,0,0,2
631750,0,0,3
1169467,0,0,2
1214330,0,0,2
1246535,0,0,2
1275091,0,0,2
1437596,0,106549,2
1555007,0,1190258,3
953885,0,605332,3
760155,0,66455,3
209604,0,0,1
263,0,0,0
1162,0,0,0
3552,0,0,38
4139,0,0,38
1204,0,0,9
37,0,0,0
0,0,0,0
0,0,0,0
42159,0,0,1
273967,0,0,2
96352,0,0,2
479,0,0,1
445,0,0,1
27353,0,0,8
17749,0,0,46
4277,0,0,25
998,0,0,4
23568,0,0,2
377611,0,0,2
382454,0,0,1
91932,0,0,1
414,0,0,1
47269,0,0,1
380954,0,0,1
267980,0,0,1
49392,0,0,0
62,0,0,0
48477,0,0,0
18069,0,0,1
265,0,0,1
2373,0,0,1
82709,0,0,2
30339,0,0,1
23,0,0,0
62,0,0,0
333794,0,0,2
956794,0,223027,3
357720,0,82489,1
18307,0,0,0
0,0,0,0
0,0,0,0
148,0,0,0
248,0,0,2
759,0,0,2
151928,0,0,2
908989,0,434785,2
1141436,0,160810,3
934653,0,0,3
845644,0,0,2
918394,0,0,2
736094,0,0,1
715262,0,0,1
766905,0,0,1
676403,0,0,2
554349,0,0,2
179649,0,0,2
61428,0,0,1
17466,0,0,0
148,0,0,0
288368,0,0,1
196438,0,0,1
33214,0,0,0
148,0,0,0
54,0,0,0
0,0,0,0
0,0,0,0
48328,0,0,0
17875,0,0,0
148,0,0,0
354636,0,0,1
131294,0,0,1
532,0,0,1
426,0,0,1
303,0,0,1
499,0,0,1
47379,0,0,1
24826,0,0,1
42397,0,0,1
66444,0,0,2
48810,0,0,1
10971,0,0,0
574,0,0,0
817,0,0,2
49637,0,0,3
18589,0,0,1
367,0,0,1
1182,0,0,1
1030,0,0,1
797,0,0,1
585,0,0,1
704,0,0,1
1401,0,0,1
441,0,0,0
6442,0,0,0
44206,0,0,1
15617,0,0,1
208841,0,0,2
310829,0,0,2
667594,0,0,1
214961,0,0,0
0,0,0,0
249,0,0,0
155,0,0,1
48414,0,0,1
64205,0,0,1
17338,0,0,1
11753,0,0,27
464741,0,0,55
1158958,0,402896,20
1421119,0,149016,5
1315506,0,0,2
1264487,0,0,2
1156850,0,0,3
1218494,0,0,1
1245620,0,0,1
335293,0,0,0
47246,0,0,1
64635,0,0,2
62700,0,0,2
17514,0,0,2
789,0,0,1
23080,0,0,1
34592,0,0,1
9662,0,0,0
143403,0,0,0
296104,0,0,1
194316,0,0,1
395969,0,0,1
195014,0,0,1
